,INCIDENT_KEY,VICTIM_ID,VICTIM_AGE_GROUP,VICTIM_SEX,VICTIM_RACE,STAT_MURDER_FLG
213,33413513,33413513-12004,25-44,Male,White Hispanic,N
214,33478091,33478091-12026,18-24,Male,Black,N
215,33600831,33600831-12094,25-44,Male,Black,N
216,33617461,33617461-12096,18-24,Male,Black,N
217,33725012,33725012-12160,25-44,Male,Black,N
218,33725012,33725012-12167,<18,Male,Black,N
219,33791635,33791635-12181,<18,Male,Black,N
220,33977873,33977873-12225,25-44,Male,Black,N
221,34286633,34286633-12376,45-64,Male,Black,N
222,34337215,34337215-12396,18-24,Male,Black,N
223,34481492,34481492-12438,25-44,Male,Black,N
224,34495575,34495575-12442,25-44,Male,Black,N
225,34545399,34545399-12452,18-24,Male,Black,Y
226,34578685,34578685-12464,45-64,Male,White Hispanic,N
227,34597533,34597533-12472,18-24,Male,White Hispanic,N
228,34597534,34597534-12473,18-24,Female,Black,N
229,34597534,34597534-12474,18-24,Female,Black,N
230,34597534,34597534-12475,<18,Female,Black,N
231,34720464,34720464-12516,<18,Male,White Hispanic,N
232,34864273,34864273-12560,18-24,Male,White Hispanic,N
233,34880351,34880351-12563,18-24,Male,Black,Y
234,34880352,34880352-12564,25-44,Male,White Hispanic,N
235,34880352,34880352-12565,45-64,Male,Black,N
236,34911951,34911951-12585,<18,Male,Black,N
237,34955934,34955934-12599,<18,Male,Black,N
238,34979907,34979907-12606,25-44,Male,Black,N
239,35002048,35002048-12607,25-44,Male,Black,N
240,35035756,35035756-12620,25-44,Male,Black,N
241,35035756,35035756-12621,25-44,Male,Black,N
242,35092377,35092377-12635,25-44,Female,Black,N
243,35092377,35092377-12636,25-44,Male,Black,N
244,35114026,35114026-12639,25-44,Male,Black Hispanic,N
245,35114026,35114026-12640,25-44,Male,Black Hispanic,N
246,35306478,35306478-12704,65+,Female,Black,N
247,35357635,35357635-12725,18-24,Male,White Hispanic,N
248,35552368,35552368-12803,<18,Male,Black,Y
249,35737598,35737598-12843,<18,Male,Black,N
250,35803777,35803777-12862,18-24,Male,Black,Y
251,35803777,35803777-12864,25-44,Male,White Hispanic,N
252,35803777,35803777-12865,18-24,Male,Black,N
253,35803777,35803777-12866,<18,Male,White Hispanic,N
254,35920656,35920656-12886,<18,Female,Black,N
255,36231790,36231790-12961,18-24,Male,Black,Y
256,36231804,36231804-12962,<18,Male,Black,N
257,36260245,36260245-12969,25-44,Male,Black,N
258,37207860,37207860-13017,25-44,Male,Black,Y
259,37351949,37351949-13061,<18,Male,Black,N
260,37401605,37401605-13077,18-24,Male,Black,N
261,37674591,37674591-13146,25-44,Male,Black,N
262,37755094,37755094-13158,18-24,Female,Black,N
263,37781236,37781236-13163,25-44,Male,Black,N
264,37882749,37882749-13170,25-44,Male,Black,Y
265,37902718,37902718-13175,25-44,Male,Black,N
266,38284574,38284574-13184,18-24,Male,Black,N
267,38285830,38285830-13185,18-24,Male,Black Hispanic,N
268,38434867,38434867-13192,45-64,Male,Black,N
269,38453950,38453950-13205,25-44,Male,Black,N
270,38794661,38794661-13219,25-44,Male,Black Hispanic,N
271,38794661,38794661-13220,18-24,Male,Black Hispanic,N
272,39158197,39158197-13271,18-24,Male,Black,N
273,41559696,41559696-13342,18-24,Male,Black,Y
274,44338541,44338541-13347,18-24,Male,Black,Y
275,44390702,44390702-13353,25-44,Male,Black Hispanic,N
276,44390704,44390704-13356,25-44,Male,Black,N
277,44445750,44445750-13376,25-44,Male,White,N
278,44515781,44515781-13380,25-44,Male,Black,Y
279,44515781,44515781-13381,<18,Female,Black,N
280,44576545,44576545-13406,18-24,Male,Black,N
281,44637605,44637605-13413,18-24,Female,Black,N
282,44637605,44637605-13414,18-24,Male,Black,N
283,44751683,44751683-13436,25-44,Male,White Hispanic,Y
284,44751683,44751683-13437,Unknown,Male,White Hispanic,N
285,44797787,44797787-13449,25-44,Male,Black,Y
286,44936766,44936766-13476,18-24,Male,Black Hispanic,N
287,44998951,44998951-13488,25-44,Male,Black,Y
288,45280063,45280063-13504,<18,Male,Black,N
289,45280069,45280069-13511,18-24,Male,Black,N
290,45374523,45374523-13521,18-24,Male,Black,N
291,45667814,45667814-13544,18-24,Male,Black,N
292,45789773,45789773-13571,<18,Female,Black,N
293,45872843,45872843-13606,45-64,Male,Black,N
294,45926430,45926430-13631,<18,Male,Black,N
295,45990089,45990089-13644,25-44,Male,Black,N
296,46174940,46174940-13688,25-44,Male,Black,N
297,46361470,46361470-13729,25-44,Male,Black,N
298,46421624,46421624-13744,18-24,Male,Black,N
299,46518467,46518467-13765,18-24,Male,White Hispanic,N
300,46538070,46538070-13768,18-24,Female,Black,N
301,46538070,46538070-13769,18-24,Female,Black,N
302,46538078,46538078-13778,65+,Male,Black,N
303,46538078,46538078-13779,18-24,Male,Black,N
304,46538078,46538078-13780,18-24,Male,Black,N
305,46538078,46538078-13781,25-44,Male,Black,N
306,46538078,46538078-13782,25-44,Male,Black,N
307,46605242,46605242-13797,<18,Male,Black,N
308,46715548,46715548-13811,18-24,Male,Black,N
309,46715552,46715552-13816,45-64,Male,Black,Y
310,46715567,46715567-13831,<18,Male,Black,N
311,46889819,46889819-13893,18-24,Male,Black,N
312,46969205,46969205-13912,25-44,Male,Black,N
313,47064977,47064977-13938,25-44,Male,Black,N
314,47447795,47447795-14027,25-44,Male,White Hispanic,Y
315,47515486,47515486-14057,18-24,Male,Black,N
316,47851708,47851708-14096,<18,Male,Black,N
317,47851713,47851713-14104,25-44,Male,White Hispanic,N
318,47916279,47916279-14115,25-44,Male,Black Hispanic,N
319,48304779,48304779-14241,<18,Female,Black,N
320,48304779,48304779-14251,<18,Female,Black,N
321,48395045,48395045-14273,18-24,Male,Black,N
322,48418962,48418962-14289,25-44,Male,White Hispanic,N
323,48480866,48480866-14310,25-44,Male,Black,N
324,48521449,48521449-14323,<18,Female,Black,N
325,49194499,49194499-14334,25-44,Male,Black,N
326,49255315,49255315-14360,18-24,Male,Black,N
327,49294882,49294882-14385,25-44,Male,Black,N
328,49514585,49514585-14392,25-44,Male,Black Hispanic,N
329,49541742,49541742-14398,25-44,Male,Black,N
330,49609152,49609152-14416,25-44,Male,Black,N
331,49629694,49629694-14422,25-44,Male,White Hispanic,N
332,49834897,49834897-14430,25-44,Male,Black,N
333,49834897,49834897-14431,18-24,Male,Black,N
334,49913264,49913264-14453,45-64,Male,Black,N
335,49935070,49935070-14462,<18,Male,White,N
336,50018403,50018403-14484,18-24,Male,Black,N
337,50100824,50100824-14498,25-44,Male,White,Y
338,50122013,50122013-14505,25-44,Female,Black,N
339,50122013,50122013-14592,25-44,Male,Black,N
340,50459052,50459052-14590,25-44,Male,Black,N
341,50479072,50479072-14570,45-64,Male,Black Hispanic,N
342,50479072,50479072-14571,45-64,Female,Black Hispanic,N
343,50499447,50499447-14578,18-24,Male,Black,Y
344,50521331,50521331-14589,<18,Female,Black,N
345,50685002,50685002-14623,18-24,Male,Black,N
346,50685012,50685012-14633,18-24,Male,Black Hispanic,N
347,50703403,50703403-14638,18-24,Male,Black,N
